CampaignID,CampaignName,Channel,StartDate,EndDate,Budget
CAMP-201,Summer Sale,Social Media,2023-06-26,2023-07-10,93240.62
CAMP-202,End of Season Sale,PPC,2025-09-05,2025-09-23,361548.72
CAMP-203,Diwali Bonanza,Affiliate,2023-03-12,2023-04-23,499057.26
CAMP-204,New Year Blast,Social Media,2023-03-09,2023-04-22,207782.3
CAMP-205,New Year Blast,PPC,2026-01-12,2026-02-04,406960.77
CAMP-206,Diwali Bonanza,Social Media,2023-08-11,2023-09-05,256495.05
CAMP-207,New Year Blast,PPC,2025-11-07,2025-12-04,462913.51
CAMP-208,Diwali Bonanza,PPC,2024-09-08,2024-10-22,79810.67
CAMP-209,New Year Blast,PPC,2025-07-18,2025-08-01,423391.64
CAMP-210,Flash Friday,Affiliate,2025-04-22,2025-05-12,139891.81
CAMP-211,Diwali Bonanza,Email,2025-06-23,2025-07-12,389861.63
CAMP-212,End of Season Sale,PPC,2023-11-17,2023-12-31,388073.27
CAMP-213,Flash Friday,PPC,2024-02-14,2024-03-29,355103.29
CAMP-214,Diwali Bonanza,Social Media,2025-05-26,2025-06-10,435630.03
CAMP-215,New Year Blast,PPC,2023-11-24,2023-12-08,214077.65
CAMP-216,End of Season Sale,Affiliate,2024-01-26,2024-03-06,211776.38
CAMP-217,Summer Sale,Social Media,2024-05-02,2024-05-17,218513.7
CAMP-218,End of Season Sale,Email,2023-10-02,2023-10-23,482017.98
CAMP-219,Flash Friday,Affiliate,2024-04-30,2024-05-26,382437.68
CAMP-220,New Year Blast,Email,2023-04-16,2023-05-20,406006.2
